유투버,조회수합,조회수평균,댓글수합,댓글수평균,좋아요합,좋아요평균,싫어요합,싫어요평균,영상길이합,영상길이평균,구독자수
Hyojin,5709000,285450.0,10084,504.2,122600,6130.0,1736.0,86.8,26018,1300.9,1280000
Joan Kim,2137000,106850.0,6218,310.9,72300,3615.0,1691.0,84.55,19858,992.9,578000
lamuqe,2821000,141050.0,4915,245.75,50527,2526.35,1064.0,53.2,19719,985.95,1360000
PONY Syndrome,12506000,625300.0,11378,568.9,491000,24550.0,5350.0,267.5,13886,694.3,5690000
RISABAE,5209000,260450.0,8587,429.35,112300,5615.0,1468.0,73.4,14568,728.4,2250000
Sunny's,3420000,171000.0,6177,308.85,87400,4370.0,1004.0,50.2,22221,1111.05,1030000
개코의 오픈스튜디오,2987000,426714.29,5191,741.57,85200,12171.43,1196.0,170.86,3867,552.43,793000
기우쌤,17738000,886900.0,17314,865.7,200621,10031.05,3439.0,171.95,9270,463.5,616000
다또아,2658000,132900.0,7015,350.75,50904,2545.2,2558.0,127.9,17238,861.9,1200000
다영,1968000,98400.0,6165,308.25,37200,1860.0,978.0,48.9,25417,1270.85,589000
도영이,5940000,297000.0,9347,467.35,227500,11375.0,1248.0,62.4,13947,697.35,559000
디렉터파이,2187000,198818.18,4202,382.0,39866,3624.18,751.0,68.27,12965,1178.64,844000
디어제리,2921000,146050.0,4470,223.5,68600,3430.0,1272.0,63.6,22332,1116.6,615000
로즈하,2345000,213181.82,42581,3871.0,77000,7000.0,1186.0,107.82,11491,1044.64,684000
리안,2347000,117350.0,3519,175.95,55100,2755.0,810.0,40.5,15433,771.65,560000
새벽,2500000,125000.0,4442,222.1,45557,2277.85,1268.0,63.4,20109,1005.45,636000
샒의 삶,2500000,125000.0,4442,222.1,45557,2277.85,1268.0,63.4,20109,1005.45,566000
소윤,3640000,182000.0,6655,332.75,71400,3570.0,1427.0,71.35,32553,1627.65,575000
슈스스,5907000,295350.0,11099,554.95,132800,6640.0,2577.0,128.85,15188,759.4,858000
씬님,6112000,305600.0,9128,456.4,106400,5320.0,1609.0,80.45,23239,1161.95,1600000
아름송이,4195000,209750.0,5484,274.2,78300,3915.0,1372.0,68.6,22512,1125.6,794000
연두콩,1797000,119800.0,8613,574.2,44300,2953.33,585.0,39.0,8956,597.07,768000
유나,1297000,108083.33,4222,351.83,24254,2021.17,845.0,70.42,9019,751.58,794000
윤짜미,6140000,307000.0,21839,1091.95,141600,7080.0,3348.0,167.4,16618,830.9,974000
젤라,2150000,143333.33,4692,312.8,58900,3926.67,1110.0,74.0,15772,1051.47,805000
한별,1720000,172000.0,4098,409.8,33800,3380.0,991.0,99.1,9236,923.6,830000
헤이즐,3840000,192000.0,8340,417.0,57400,2870.0,2175.0,108.75,21740,1087.0,725000
홀리,3486000,174300.0,4840,242.0,74000,3700.0,1100.0,55.0,22625,1131.25,598000
회사원A,6014000,300700.0,16171,808.55,93155,4657.75,4351.0,217.55,18198,909.9,1200000
희주,1837000,122466.67,6803,453.53,84300,5620.0,803.0,53.53,11506,767.07,648000
