날짜,빈도수
2020-04-01,26.95035
2020-04-02,21.98581
2020-04-03,28.13238
2020-04-04,21.98581
2020-04-05,21.27659
2020-04-06,25.2955
2020-04-07,29.31442
2020-04-08,27.42316
2020-04-09,32.3877
2020-04-10,41.37115
2020-04-11,48.22695
2020-04-12,100.0
2020-04-13,57.68321
2020-04-14,37.82505
2020-04-15,30.02364
2020-04-16,35.22458
2020-04-17,28.13238
2020-04-18,27.18676
2020-04-19,24.58628
2020-04-20,33.80614
2020-04-21,37.58865
2020-04-22,36.87943
2020-04-23,34.51536
2020-04-24,34.98817
2020-04-25,29.55082
2020-04-26,37.58865
2020-04-27,56.97399
2020-04-28,58.86524
2020-04-29,49.17257
2020-04-30,36.87943
2020-05-01,35.9338
2020-05-02,41.13475
2020-05-03,46.33569
2020-05-04,61.70212
2020-05-05,58.15602
2020-05-06,49.88179
2020-05-07,51.30023
2020-05-08,39.4799
2020-05-09,38.53427
2020-05-10,36.17021
2020-05-11,40.18912
2020-05-12,38.29787
2020-05-13,34.27895
2020-05-14,35.22458
2020-05-15,39.71631
2020-05-16,31.20567
2020-05-17,29.78723
2020-05-18,48.22695
2020-05-19,41.37115
2020-05-20,27.65957
2020-05-21,37.82505
2020-05-22,34.98817
2020-05-23,42.55319
2020-05-24,63.12056
2020-05-25,59.33806
2020-05-26,53.42789
2020-05-27,49.17257
2020-05-28,40.89834
2020-05-29,27.89598
2020-05-30,22.69503
2020-05-31,27.18676
2020-06-01,25.76832
2020-06-02,29.31442
2020-06-03,30.73286
2020-06-04,28.8416
2020-06-05,28.13238
2020-06-06,22.22222
2020-06-07,22.45862
2020-06-08,27.18676
2020-06-09,27.42316
2020-06-10,29.78723
