유투버,조회수평균,댓글수평균,좋아요평균,싫어요평균,영상길이평균,구독자수
피지컬갤러리,1.0000000000000002,0.819327485380117,1.0000000000000002,0.7248356095093577,0.15824413958367972,1.0
Shoot for Love 슛포러브,0.8891125861146938,0.5163450292397661,0.5127701868027817,0.5854830551340415,0.3307459024381854,0.620253164556962
말왕TV,0.6438233351159206,0.6596783625730995,0.49395822490327523,0.511127971674254,0.21135908916317436,0.3624856156501726
JK 아트사커 온라인,0.34065242694013653,0.3183040935672515,0.28514544781875306,0.2804754678806272,0.2139675405456536,0.3020713463751438
힙으뜸,0.38021729214508165,0.159906432748538,0.4868209665586025,0.2233181588265048,0.4015467256769074,0.2807825086306099
SomiFit,0.06017018465506936,0.03780701754385964,0.12126817705818542,0.05665149215983814,0.40965872283340876,0.23935558112773303
석꾸축꾸,0.09728432791217088,0.2615263157894737,0.1735453650461207,0.27835103692463325,0.0,0.18642117376294592
ROAD FIGHTING CHAMPIONSHIP,0.005615385825285475,0.001812865497076023,0.0,0.009610520991401111,0.08472020775885299,0.17836593785960875
강하나스트레칭,0.11787096165340212,0.06467836257309942,0.31168285540499024,0.08219524532119372,0.48326864756095456,0.16858457997698506
GoAle,0.21065462895970305,0.5443567251461989,0.19062160992769936,0.14390490642387455,0.2669964972224292,0.12485615650172614
꽁병지tv,0.062718235867753,0.10853801169590643,0.06455011193117331,0.09686393525543754,0.13700389261206308,0.12370540851553512
차도르,0.38708071974582403,0.12380701754385964,0.16849999686467304,0.4633282751643905,0.3084680077737584,0.1231300345224396
흑자헬스SurplusHealth,0.4715153040359873,1.0000000000000002,0.7291077486471065,1.0,0.10690637666037962,0.12197928653624858
재미어트,0.029687942370002204,0.0343859649122807,0.03290212136223687,0.052857865452706126,0.05599857825067504,0.09493670886075951
이스타TV,0.0798703954197993,0.29605263157894735,0.11855298389068998,0.1646433990895296,0.677411957599766,0.08285385500575375
Minsoo Go,0.0,0.0,0.009901362613106923,0.015427415275670209,0.6114840655151261,0.06271576524741083
박문성 달수네라이브,0.03169335304665136,0.057953216374269007,0.04412032130830925,0.10520991401112798,0.28150063348105003,0.060414269275028784
조제알통,0.1073956400012583,0.06997076023391813,0.09396574968803498,0.09458775923115834,0.09587062081142904,0.05983889528193327
SmiHomeTraining스미홈트,0.00822611595205889,0.00850877192982456,0.019633417569118287,0.0,0.9999999999999999,0.05350978135788263
LOVELY SWIMMER,0.05361917644468212,0.05640350877192982,0.06787982918738597,0.08598887202832574,0.054594027506263146,0.045454545454545456
SIMZZANG (심짱골프),0.15931611563748468,0.07242690058479533,0.1696149191399171,0.25088517956499745,0.5253191769905924,0.04487917146144994
준규빌더,0.13334801346377678,0.15880116959064328,0.13304446520727647,0.10672736469398078,0.22176423039218496,0.04372842347525892
터치플레이TOUCH PLAY,0.17210355783447107,0.055,0.0604679161989804,0.09408194233687406,0.14878492028457918,0.02704257767548908
이기호프로,0.13381987479945895,0.02874269005847953,0.23403961799176037,0.16944865958523014,0.25312297558374847,0.018987341772151903
뽈인러브,0.05218786372644626,0.05675438596491228,0.046384027390216534,0.04754678806272131,0.3141206079124936,0.006329113924050639
김현우프로(WANNA GOLF),0.02609393186322313,0.001666666666666667,0.04778865387871301,0.039959534648457265,0.29038656676202323,0.0005753739930955126
풋볼아이,0.02566925666110919,0.004298245614035088,0.022919240247565423,0.020232675771370768,0.043930907569095276,0.0
