유투버,구독자수,조회수합,조회수평균,댓글수합,댓글수평균,좋아요합,좋아요평균,싫어요합,싫어요평균,영상길이합,영상길이평균
01.백종원,4010000,12910000,645500,15226,761.3,219300,10965,4958,247.9,13971,698.55
02.떵개떵,3980000,6156000,307800,14071,703.55,149300,7465,5803,290.15,15432,771.6
03.문복희,3850000,45930000,2296500,60336,3016.8,971000,48550,27929,1396.45,13747,687.35
04.하루한끼,3250000,34890000,1744500,50699,2534.95,1097000,54850,17246,862.3,4245,212.25
05.햄지,3220000,50520000,2526000,47371,2368.55,1042000,52100,35900,1795,14847,742.35
06.쿠킹트리,3190000,4033000,201650,6810,340.5,204500,10225,1258,62.9,10838,541.9
07.FRAN,2830000,3390000,169500,5125,256.25,85600,4280,6698,334.9,11061,553.05
08.쯔양,2500000,24250000,1212500,36909,1845.45,402100,20105,10202,510.1,16716,835.8
09.유디티,2490000,5658000,282900,8388,419.4,156200,7810,6372,318.6,17717,885.85
10.한세,2410000,15320000,766000,14302,715.1,338800,16940,4003,200.15,8911,445.55
11.푸메,2350000,18410000,920500,20363,1018.15,422700,21135,15459,772.95,17118,855.9
12.꿀키,2130000,4600000,230000,4951,247.55,121500,6075,1373,68.65,12593,629.65
13.MINEE EATS,1670000,4320000,216000,17359,867.95,139300,6965,3447,172.35,12085,604.25
14.엠브로,1600000,10380000,519000,11447,572.35,148000,7400,5217,260.85,12825,641.25
15.나름,1580000,12220000,611000,64401,3220.05,257900,12895,7144,357.2,15394,769.7
16.아리키친,1390000,7243000,362150,15343,767.15,190000,9500,2917,145.85,12166,608.3
17.애주가,1270000,11246000,562300,14484,724.2,96200,4810,4252,212.6,13182,659.1
18.SOF,1060000,787000,39350,2963,148.15,14622,731.1,810,40.5,13750,687.5
19.입짧은햇님,1050000,3102000,155100,3809,190.45,50300,2515,1490,74.5,45174,2258.7
20.상윤쓰,952000,17140000,857000,79291,3964.55,435000,21750,10120,506,12304,615.2
21.야식이,896000,5294000,264700,12474,623.7,122000,6100,3181,159.05,20009,1000.45
22.산적TV,853000,6530000,326500,8484,424.2,65200,3260,2659,132.95,14378,718.9
23.아내의식탁,828000,3135000,156750,2820,141,67264,3363.2,929,46.45,9716,485.8
24.권회훈,694000,488000,24400,1736,86.8,11267,563.35,608,30.4,12004,600.2
25.수빙수,676000,15860000,793000,47189,2359.45,335000,16750,6439,321.95,12765,638.25
26.먹어볼래,661000,10020000,501000,24268,1213.4,109300,5465,5759,287.95,10783,539.15
27.신쿡,597000,1364000,68200,3717,185.85,47132,2356.6,999,49.95,13370,668.5
28.가르마,595000,2788000,139400,2985,149.25,58300,2915,3081,154.05,16172,808.6
29.시니,586000,3190000,159500,4076,203.8,65400,3270,1973,98.65,20484,1024.2
30.맛상무,578000,2601000,130050,5784,289.2,32022,1601.1,1522,76.1,11793,589.65
